0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.21700643,0.8796261,-0.09290014,0.8597393,0.44188797,0.26191548,0.5330215,0.15930049,0.7406419,0.6289124,0.760213,-0.09330317,0.83597213,0.5604073,0.25326177,0.85783213,-0.5555869,0.24216111,-0.6809314,-0.50005496,0.45923898,-0.18591593,0.3071371,-0.7766685,-0.3149942,0.27197817,0.8164873,0.17491673,0.85155994,0.570139,-0.49116045,0.29845464,-0.02708442,0.36905375,0.32709056,0.4217305,-0.31833917,0.18909238,0.38256356,-0.4266481,0.43819574,0.18273155,-0.09858525,0.18315245,-0.62290746,-0.3739567,0.25428325,-0.37000337,0.730396,-0.06691546,0.7948277,0.08402379,0.05833085,0.7307592,0.29974425,-0.11267123,0.15133075,0.59557235,0.44935226,0.6651533,-0.84845936,-0.83618605,0.27873394,0.7626443,0.5376678,0.5789205,-0.6438434,-0.04667663,-0.7664313,0.61378205,-0.0057902904,0.74818933,-0.0313889,0.20472589,0.017160889,-0.3196425,0.27783647,0.5823557,0.3246865,-0.6358001,-0.77430606,0.6515942,0.3486925,-0.58095205,0.56331676,-0.8229203,-0.31382924,0.38728768,0.032961883,-0.39506468,-0.6682192,-0.56028,-0.43164742,0.8508129,0.46917123,-0.24838983,0.053303342,-0.7305216,-0.6388809,-0.8707238,0.610257,0.72851676,-0.2130477,0.5618537,-0.31937623,0.88438654,-0.37062827,0.19609384,-0.39149114,-0.18611133,0.7436017,0.78558785,-0.8089917,0.7309661,-0.6895803,0.00097143557,0.7442928,-0.84952337,0.6969967,0.06749418,-0.3999357,0.43194193,0.4105303,0.049271863,-0.17742442,-0.28764176,0.010453998,0.24037533
0.69236964,0.07818126,0.69385946,-0.7175491,0.35731256,0.61314565,-0.019551968,0.6007901,0.71858174,0.38763177,-0.18178141,-0.4208212,-0.4240599,0.7553128,0.62249917,-0.61395836,0.68663687,-0.08821863,0.23433575,0.67873317,-0.36076227,0.2116352,0.24528831,-0.32972088,0.74715656,-0.6586344,-0.82368046,0.02859339,-0.017957408,0.25142407,-0.8499035,-0.6848159,0.4058292,-0.116155915,0.19153804,-0.19293188,0.6575558,0.30277646,0.058800705,-0.16971269,0.48449025,0.33428568,0.034711316,0.45523316,0.7656192,0.31478253,-0.16070035,0.91185224,0.22781442,-0.17676099,-0.8618305,0.33806908,0.4737359,0.016273474,0.33578056,0.0060718143,-0.71291,0.28429556,-0.34311178,0.056237254,0.35989138,-0.14527151,-0.8967726,0.6769167,0.49009603,0.40557173,0.35149884,-0.06480148,-0.7932963,-0.6932839,0.26351324,-0.71809536,-0.46417582,-0.65245205,-0.61424255,0.2696109,-0.7335712,-0.50246394,-0.07349692,-0.76028425,0.4922493,0.48307168,0.39720944,-0.29519182,-0.6315033,-0.13498926,-0.76650214,0.85716337,-0.46512356,0.69683343,0.48703712,-0.35961008,0.26668334,-0.26932624,-0.74683833,0.47130287,-0.36677238,0.9674112,-0.22399162,0.18144296,-0.071007624,-0.5273819,0.42569032,-0.8182341,0.13341723,0.9415275,0.6842524,0.034321792,0.4720785,0.2334448,0.101443,-0.57012504,-0.10075373,0.46470794,-0.036041096,0.29125813,0.43314788,0.6996222,-0.7759816,0.4558309,0.33742896,-0.41757786,-0.59771097,-0.42521083,0.655415,-0.214716,0.23161308,-0.12164349
0.2915025,0.27671626,-0.13100342,0.52428794,-0.713583,0.1370574,0.51705843,0.2737106,-0.69081086,-0.7085436,0.21268725,-0.45538983,-0.64223224,-0.29247966,-0.3832371,0.2687341,-0.58176214,0.22420526,-0.68362784,-0.12400856,-0.7676217,-0.45548493,0.43331504,-0.5976996,0.43747264,0.66905344,0.34559852,0.15097499,0.80281585,0.3175176,0.564709,-0.44547704,0.23301508,0.80809265,0.030646939,-0.23361978,0.4193392,-0.21684101,-0.5012958,0.15590595,0.6166429,0.36841828,0.07623187,-0.6951841,0.53460205,0.3982855,-0.22760496,0.6253724,0.87595993,-0.874102,-0.024870662,0.051072158,0.37302753,-0.13691394,-0.5116782,-0.69880027,-0.7389265,0.56222355,0.5271098,-0.6720289,-0.66639596,0.37653437,-0.7307621,0.09108253,-0.6558246,-0.46223703,0.521129,0.24741678,-0.5304409,-0.7150659,-0.06379198,-0.21254985,0.8233229,0.6824345,0.4753899,0.033543874,0.097175255,0.044558585,-0.59223163,-0.768259,0.2637393,0.5006657,-0.22801642,0.6408285,-0.84743613,0.5638113,0.8142444,0.47652644,0.05425795,0.30825505,-0.8019203,0.81609666,-0.3677289,-0.16241531,0.51628554,0.6499658,0.40946978,-0.40134513,0.7169964,0.6661206,0.57182336,0.27254727,-0.24249928,0.6847581,0.59789014,-0.5800717,0.1434511,-0.20421213,0.06479671,-0.31779048,-0.4573056,0.67750186,-0.3823191,-0.43159243,0.23196636,-0.8372422,-0.78155625,0.88631487,-0.8695199,-0.80800223,-0.5574493,-0.050303306,0.63790417,-0.3131748,0.14168552,0.5217686,0.29518193,-0.44554242
-0.0586172,-0.49687558,-0.26964378,0.9022076,0.77685094,-0.6767904,-0.235054,0.51934963,-0.641117,-0.73914737,-0.5655138,-0.56407523,-0.73541164,0.57050955,-0.029707158,0.896381,-0.040213585,0.6683768,-0.6260496,0.0724834,-0.12605695,0.6997901,0.23287709,0.17357652,-0.46991807,0.007863515,-0.3831159,0.77790153,0.04989438,0.29245907,-0.07020302,-0.38038185,0.94630235,-0.8362472,0.77893925,0.8088274,0.6093282,-0.38327244,-0.59900576,0.08566777,0.7137984,0.015931783,0.4827923,0.48203644,-0.62008655,-0.43376887,-0.22313657,0.2230425,-0.6945723,0.25515622,-0.5455647,0.54055256,-0.10145973,0.41875347,-0.31629604,0.31581753,0.07145285,0.24713543,-0.79265755,0.17460485,-0.26039505,0.18092597,0.1337015,0.61517125,0.8841099,-0.6540493,-0.43079147,0.6289026,-0.2887137,0.43843797,0.18872084,-0.26572898,0.53718555,0.026748039,0.5587998,-0.57078546,0.734131,0.67726976,0.8064132,-0.41037276,-0.23353167,0.31354526,0.36889428,-0.8093808,0.09183642,-0.29232123,-0.38744184,-0.20373552,0.19857194,-0.4002514,-0.33800265,0.29945406,0.28671467,-0.3994706,0.6763311,-0.72590995,0.14986588,0.31637135,-0.6272714,0.7205009,0.823126,-0.12223853,0.40068376,0.22746862,-0.06860098,0.4606013,-0.6809708,-0.8053314,0.49545023,-0.35285854,-0.53810066,0.22274132,0.64640576,-0.5743432,-0.05952448,-0.1369393,-0.7471877,-0.53750825,0.08441733,0.13478649,0.90803283,0.7961265,0.8286326,0.52060395,-0.834348,0.25911522,0.52763546,0.11022396
0.16689521,-0.17412798,0.78801984,-0.36704823,-0.1849797,-0.7998386,0.55590844,-0.42867976,-0.10300284,-0.3131586,-0.8148627,-0.3291015,0.45791817,0.0036718752,0.24903224,-0.4854661,-0.52659684,0.0069126566,-0.20149924,0.8643961,-0.69711995,-0.51757705,-0.5059082,-0.5449193,-0.50366366,-0.62894034,-0.042002026,0.70996624,-0.22467332,-0.08524751,0.23353848,-0.17408714,-0.65965354,-0.3131153,-0.8708558,-0.6853077,0.6352728,-0.58167744,0.26720378,0.32690713,0.47209987,-0.27070534,-0.6748894,-0.7080844,0.4583759,-0.64646137,-0.5980504,-0.53399134,-0.08339517,0.73356444,0.38061354,-0.27558914,0.07941984,-0.42030352,0.57697237,-0.14356247,0.4094142,0.1168098,-0.7848909,-0.8195029,-0.74025637,0.69463,-0.55556065,-0.49227422,0.379946,-0.6908765,-0.7423738,0.64531815,0.46281007,-0.8688678,0.7519443,0.68704504,0.13964346,0.07269467,0.3084288,-0.14241727,0.54313374,0.29233465,0.30436993,-0.7808793,0.5002531,0.36801207,-0.001895309,-0.28061044,-0.4648634,-0.8171366,0.36796987,-0.56674397,0.7767671,0.16604342,0.6333453,0.6832394,0.05291066,-0.090562746,0.046383824,0.48838946,0.43733844,-0.16236265,0.54005307,-0.65305823,-0.21991266,-0.2546266,-0.39179465,0.8313904,0.45840448,0.880156,0.35401788,-0.8388504,-0.5490717,0.04439136,0.33808163,0.15987597,-0.45041335,0.2706856,-0.6365861,0.30110085,0.3693433,0.12936799,0.6238985,0.27046072,-0.28375098,-0.23686814,0.85588217,-0.018752456,-0.6449358,-0.8459926,0.285336,0.15076135
-0.79495585,-0.66212094,0.75671756,0.64476013,0.8076003,-0.084948525,0.10932766,-0.5235365,0.6788677,0.77278787,0.6310743,0.5864725,-0.21754989,-0.5096359,-0.6123936,-0.52846676,0.6643021,-0.49219313,0.5644095,-0.42268342,0.07894374,0.8595672,0.48647842,-0.8590471,-0.65877134,-0.58327353,-0.7692578,-0.6140337,0.64999384,0.80935884,0.8116213,-0.8076756,0.2340042,-0.5245788,-0.60615754,0.6150312,0.046470467,-0.62979496,-0.066083215,0.5893833,0.49929333,0.40860763,0.22683042,-0.8067479,-0.07979713,-0.7080223,-0.23319082,0.7055232,0.2898339,-0.41564175,0.08510565,0.738396,-0.5903302,0.8034954,-0.33998823,-0.47503364,0.50691414,-0.7384776,0.63140386,0.8464281,0.81148416,0.72690725,0.8575923,0.32773188,-0.69917464,0.2852682,0.13653311,0.54472387,-0.69280636,0.43759602,0.2986054,-0.48823074,-0.47777483,-0.6634262,0.36160082,0.37188926,-0.21350275,-0.70469975,0.23353668,0.03954635,-0.7276139,0.4808037,-0.62577796,-0.58905506,-0.85945386,0.8407541,-0.44665635,0.52659976,0.6076662,0.35280627,-0.66377157,0.16961795,0.8446169,0.71332884,0.19549376,-0.081172176,0.06202198,0.050330684,-0.1375605,0.7658456,0.43382525,-0.5030197,-0.39556465,-0.77328247,0.063854106,-0.6393908,0.50898993,-0.6258982,0.11082344,0.25350007,-0.42775452,-0.47870392,-0.83360577,-0.15247044,0.64113957,-0.6660338,0.29498366,0.63455105,-0.60887784,-0.46386865,0.14960817,0.043948025,-0.82686394,0.82895505,-0.7289697,0.6322819,0.23984073,-0.737122
-0.6875033,-0.32456106,-0.74874216,-0.59220695,-0.44592,-0.6975463,0.522287,-0.68762565,-0.87332624,0.011456989,0.50226814,-0.10148777,-0.66699755,-0.1340404,0.5942889,-0.4030841,-0.87244874,0.4148527,-0.006275828,0.8567708,0.76686597,0.43786502,0.17215596,0.35344872,0.43211076,0.566329,-0.52207386,-0.43355832,0.59761673,-0.81470364,0.0439393,-0.03900199,-0.5729588,-0.6275729,0.4036662,0.7983831,-0.73903775,-0.7840165,-0.33249295,-0.46535003,0.39524183,0.81031144,0.6265134,-0.6661786,-0.039835896,0.7168664,0.65685713,0.35704952,-0.5736969,-0.74257106,0.12401475,-0.7292195,-0.046307404,-0.711329,0.7406508,-0.46658206,-0.41003427,0.5780254,0.09368757,-0.8760842,-0.24034487,-0.47840628,-0.75648755,0.32857826,0.047036793,-0.6461483,-0.65336454,-0.79762745,-0.5563122,0.074126825,0.16113685,0.45981878,0.35675383,-0.7482234,0.52275795,0.26551938,0.08190164,-0.12133343,0.49637035,0.22855423,-0.23169982,0.14942683,0.46113238,-0.27739957,-0.23240128,0.094851755,0.6872401,0.77781135,-0.5366926,-0.28273293,0.12631235,-0.7192248,0.8775262,0.8474575,0.35406443,-0.74704164,-0.36620826,-0.0068450645,-0.88426864,-0.010995503,0.8732225,-0.19388995,0.6726265,0.39641187,-0.5202434,-0.44682148,-0.17834668,-0.77238053,0.6189013,0.2958722,0.78520024,0.39145052,-0.102112755,-0.03799842,-0.53536844,0.45444047,-0.31199664,-0.43412644,0.116513856,0.6034492,-0.16134642,-0.03720313,0.8647822,0.53085154,-0.45069838,0.53776765,0.25660697,-0.058168348
0.3537472,0.8517038,-0.12658428,-0.40398648,0.77777356,-0.22740942,-0.45314458,-0.44353467,0.3947826,-0.7781979,0.11156256,-0.86788106,0.8053962,0.27702722,-0.49302813,0.48945525,-0.2640357,-0.043863703,-0.5016054,-0.2899111,0.72403127,0.57170194,0.7783799,-0.10787838,-0.26526284,-0.35609105,-0.23576042,-0.12575148,0.16003034,-0.366159,-0.7646878,-0.3245752,0.3017781,0.07588672,-0.8027791,-0.79934597,-0.5947575,-0.37316835,0.5387475,0.731265,-0.6885605,-0.4300607,0.8461203,0.2511059,-0.655068,-0.42551434,-0.27661407,-0.7681829,-0.7142587,0.3962333,-0.046103444,-0.23571849,0.17982063,-0.51631874,0.019700633,0.39860258,-0.60662913,0.31711772,-0.32143363,0.44219548,-0.29663646,0.32511443,-0.44484624,0.65432084,0.43042865,-0.3985926,0.114469044,-0.28947666,-0.85854036,0.62037945,-0.6399661,0.09811223,0.06279661,0.4578575,0.60071445,-0.2403428,0.79852194,0.4057576,-0.019489935,0.62957186,-0.846577,-0.6309962,-0.20823386,0.10557264,-0.46042144,0.45738986,-0.13121487,-0.4488334,0.1955239,-0.3267158,0.7719128,0.8597692,0.628553,-0.73229873,0.6691707,-0.4103722,0.0069858143,-0.21509643,-0.552061,0.22409207,-0.25738484,0.23867492,0.63440156,-0.037504565,-0.34331763,-0.8761064,0.70321006,-0.45454618,-0.41350138,-0.53869075,0.5055622,0.77325714,-0.07895272,0.41237587,0.25349718,-0.83853793,-0.07824259,-0.6450814,0.51403004,0.86818326,-0.5536619,0.22327001,-0.19440863,0.11218618,0.3719358,-0.73533654,-0.13783038,-0.7328273
-0.5580878,-0.7457648,-0.16674285,-0.037045557,-0.16751257,0.7685103,0.0025499489,0.8760023,0.7173338,-0.28443944,-0.42585084,-0.02264769,-0.84840465,-0.046461325,0.16658457,0.8364682,0.7395512,0.849935,0.3285934,0.15542711,-0.7645916,-0.4809482,0.5997109,0.09749689,-0.99057746,0.35571697,0.41929325,-0.4708454,0.93328685,0.7962347,0.6688331,0.5028152,0.69171906,0.8317405,-0.61477584,-0.8208184,-0.4496243,0.07187741,0.9716572,0.73691565,-0.4166155,-0.82587016,-0.25270972,-0.39951348,0.67582905,0.28289974,-0.7195321,0.27526987,-0.1710643,0.6229204,-0.63670117,0.88809687,0.52109426,0.93936354,-0.7831186,0.87445974,-0.14426424,-0.19660032,0.3840816,-0.17883307,0.46972942,-0.28175035,-0.56563187,0.06801593,0.06296498,-0.18134145,0.43722847,0.061260123,0.14461355,-0.5901131,-0.37878665,-0.6977373,0.8241944,0.58313,0.46071914,0.33742657,-0.2608361,0.4346729,-0.60584074,0.7500599,-0.7160896,0.7200587,-0.7525663,-0.4931119,0.32691494,0.64445263,0.04191918,0.40716255,-0.32797095,-0.30971342,-0.083676174,-0.39945242,0.7088669,-0.78866684,0.46947768,0.9251695,-0.012310098,-0.046903256,0.26452366,0.4592364,0.55127317,-0.020444144,0.10244562,-0.29383555,-0.088009514,-0.31386504,-0.76075953,0.89345175,0.45556086,0.17976008,-0.7283144,-0.52622104,0.50174475,0.51795626,0.2877258,0.50160074,0.150789,-0.20964678,-0.22874343,-0.4793269,0.07624871,-0.61764127,-0.20556363,0.33334178,-0.16121644,0.57833064,0.7444217,0.5286981
-0.5376899,0.47800624,-0.12160847,-0.45992732,0.5675467,-0.31484354,-0.7492684,-0.70524585,-0.5763637,0.242969,-0.06530113,0.81312436,-0.01076015,0.5349596,0.334783,0.8613704,-0.9227053,-0.042157184,0.8840776,0.11658653,0.89142144,-0.36453062,0.14956021,-0.43550658,-0.8933452,0.50921375,0.46127632,-0.19592677,0.3520259,-0.6417417,0.57700384,0.5398266,0.49868557,0.51746374,-0.68866134,0.23110126,-0.7076467,0.18499987,-0.034104247,0.43982542,0.046770006,0.3088958,-0.52383274,0.23752508,0.47843176,0.6130565,0.35942098,0.010435876,0.8270153,0.37503824,0.17335777,0.62832445,-0.35272297,0.399145,-0.50008386,-0.41804275,-0.06233806,0.34663272,0.68612087,-0.1021017,-0.09564755,-0.07720142,0.9642072,0.21965513,-0.19491683,0.69981915,-0.20929313,-0.29412043,0.73615086,0.7491629,0.0978239,-0.32563025,0.19503541,-0.67338413,-0.044838645,-0.31534734,-0.3736812,-0.11761179,0.047451783,-0.39530358,0.08672697,0.043446846,0.22571751,-0.7509197,-0.22563805,0.8673942,0.562531,-0.3399684,0.68506086,0.016683683,0.36827624,0.3579066,0.4316543,-0.995814,0.6527894,0.42970437,-0.15610881,-0.7785155,0.20527664,-0.4952846,0.7511633,0.050459366,0.45333782,0.7223253,-0.049907573,0.28089598,-0.24239142,0.59828126,-0.58290315,-0.4830595,-0.8737513,-0.075720534,0.43142247,0.7555196,-0.44107977,-0.11058123,0.6291295,-0.5065091,0.9711821,0.55038106,0.2868907,0.779324,0.49469543,0.68785554,0.05867033,-0.44834965,0.7736192,-0.6887746
